en,fr,it,de,es,ko,kana
Group 0,Plains - River (rod),Group 0,Group 0,Group 0,Group 0,Group 0
Plains - River,Plains - River (grass),Plains - River,Plains - River,Plains - River,Plains - River,Plains - River
Plains - River (tall grass),Plains - River (tall grass duo Other),Plains - River (tall grass),Plains - River (tall grass),Plains - River (tall grass),Plains - River (tall grass),Plains - River (tall grass)
Plains - River (tall grass duo),Plains - River (tall grass duo - Mangriff),Plains - River (tall grass duo),Plains - River (tall grass duo),Plains - River (tall grass duo),Plains - River (tall grass duo),Plains - River (tall grass duo)
Plains - River (surf),Plains - River (surf),Plains - River (surf),Plains - River (surf),Plains - River (surf),Plains - River (surf),Plains - River (surf)
Plains - River (good rod),Plains - River (good rod),Plains - River (super rod),Plains - River (super rod),Plains - River (super rod),Plains - River (super rod),Plains - River (super rod)
Beach (sand),Beach (sand),Beach (sand),Beach (sand),Beach (sand),Beach (sand),Beach (sand)
Beach (surf),Beach (surf),Beach (surf),Beach (surf),Beach (surf),Beach (surf),Beach (surf)
Beach (rod),Beach (rod),Beach (rod),Beach (rod),Beach (rod),Beach (rod),Beach (rod)
Beach (good rod),Beach (good rod),Beach (super rod),Beach (super rod),Beach (super rod),Beach (super rod),Beach (super rod)
Cave (ground),Cave (ground),Cave (ground),Cave (ground),Cave (ground),Cave (ground),Cave (ground)
Cave (surf),Cave (surf),Cave (surf),Cave (surf),Cave (surf),Cave (surf),Cave (surf)
Cave (rod),Cave (rod),Cave (rod),Cave (rod),Cave (rod),Cave (rod),Cave (rod)
Cave (good rod),Cave (good rod),Cave (super rod),Cave (super rod),Cave (super rod),Cave (super rod),Cave (super rod)
Cave (smash),Cave (smash),Cave (smash),Cave (smash),Cave (smash),Cave (smash),Cave (smash)
Marsh (grass),Marsh (grass),Marsh (grass),Marsh (grass),Marsh (grass),Marsh (grass),Marsh (grass)
Marsh (tall grass),Marsh (tall grass),Marsh (tall grass),Marsh (tall grass),Marsh (tall grass),Marsh (tall grass),Marsh (tall grass)
Marsh (ash),Marsh (ash),Marsh (ash),Marsh (ash),Marsh (ash),Marsh (ash),Marsh (ash)
Tundra,Tundra,Tundra,Tundra,Tundra,Tundra,Tundra
Route (morning),Route (morning),Route (morning),Route (morning),Route (morning),Route (morning),Route (morning)
Route (day),Route (day),Route (day),Route (day),Route (day),Route (day),Route (day)
Route (night),Route (night),Route (night),Route (night),Route (night),Route (night),Route (night)
Route (soir),Route (soir),Route (soir),Route (soir),Route (soir),Route (soir),Route (soir)
Beach (super rod),Beach (super rod),[~ 23],[~ 23],[~ 23],[~ 23],[~ 23]
Plains - River (super rod),Plains - River (super rod),[~ 25],[~ 25],[~ 25],[~ 25],[~ 25]
Cave (super rod),Cave (super rod),[~ 25],[~ 25],[~ 25],[~ 25],[~ 25]
