fr,en
Nous sommes actuellement à l'étage \v[103].\nlÀ quel système voulez-vous aller ?,We are currently on floor \v[103].\nlWhich System may I take you to?
Nous sommes déjà à cet étage.,We are already on that floor?!
Certainement.\nlNous descendons.,Certainly.\nlElevator going down.
Certainement.\nlNous montons.,Certainly.\nlElevator going up.
Premier étage : Hall de la Tour.,The first floor has the Main Hall.
Deuxième étage : Laboratoire.,The second floor has the Laboratory.
Troisième étage : Bibliothèque.,The third floor has the Library.
Quatrième étage : Studio photo.,The fourth floor has the Photo Studio.
Cinquième étage : Casino.,The fifth floor has the Game Corner.
Premier étage : Hall de la Tour.,The first floor has the Main Hall.
Deuxième étage : Laboratoire.,The second floor has the Laboratory.
Troisième étage : Bibliothèque.,The third floor has the Library.
Quatrième étage : Studio photo.,The fourth floor has the Photo Studio.
Cinquième étage : Casino.,The fifth floor has the Game Corner.
1: Hall de la Tour,1: Tower Hall
2: Laboratoire,2: Laboratory
3: Bibliothèque,3: Library
4: Studio photo,4: Photo Studio
5: Casino,5: Game Corner
Retour,Return
