en,fr
An error occured while contacting the server. Please try again later.,Une erreur s'est produite lors de la communication avec le serveur. Veuillez réessayer plus tard.
Invalid code. Please check the code and try again.,Code invalide. Veuillez vérifier le code et réessayer.
Gift(s) found, Cadeau(x) trouvé(s)
"No gift(s) available at the moment, please try again later.","Pas de cadeau disponible pour le moment, veuillez réessayer plus tard."
An error occured while claiming the gift. Error: ,Une erreur s'est produite lors de la réclamation du cadeau. Erreur : 
Enter the code to claim your gift,Entrez le code pour réclamer votre cadeau
You have received the gift [GIFT]!, Vous avez reçu le cadeau [GIFT] ! 
The maximum number of claims for this gift has been reached.,Le nombre maximum de réclamations pour ce cadeau a été atteint.
You are not eligible to claim this gift.,Vous n'êtes pas éligible pour réclamer ce cadeau.
An unexpected error occurred. Please try again later.,Une erreur inattendue s'est produite. Veuillez réessayer plus tard.
No response from the server. Please check your internet connection and try again.,Aucune réponse du serveur. Veuillez vérifier votre connexion Internet et réessayer.
